name,rms,iteracion
16,5.6296544777557,102
16,5.56886051737751,128
16,5.87412728552835,256
160,9.95184603706115,102
160,10.337207379997,128
160,11.7789084733098,256
1600,9.95184603706115,102
1600,10.337207379997,128
1600,11.7819039520944,256
16000,9.95184603706115,102
16000,10.337207379997,128
16000,11.7819039520944,256
160000,9.95184603706115,102
160000,10.337207379997,128
160000,11.7819039520944,256
16,4.642888933,1102
16,4.457078589,1128
16,4.314817374,1256
160,6.735948354,1102
160,6.34179431,1128
160,6.097080076,1256
1600,6.737917497,1102
1600,6.34179431,1128
1600,6.097349866,1256
16000,6.737917497,1102
16000,6.34179431,1128
16000,6.097349866,1256
160000,6.737917497,1102
160000,6.34179431,1128
160000,6.097349866,1256
