name,rms,iteracion
16,11.2233068677858,102
16,11.7779104393358,128
16,13.366168176006,256
160,11.2233068677858,102
160,11.7659518870739,128
160,13.3618547062069,256
1600,11.2233068677858,102
1600,11.7659518870739,128
1600,13.3618547062069,256
16000,11.2233068677858,102
16000,11.7659518870739,128
16000,13.3618547062069,256
160000,11.2233068677858,102
160000,11.7659518870739,128
160000,13.3618547062069,256
16,9.734452166,1102
16,9.453742296,1128
16,9.36810725,1256
160,9.726605831,1102
160,9.439740313,1128
160,9.354378224,1256
1600,9.726605831,1102
1600,9.439740313,1128
1600,9.354378224,1256
16000,9.726605831,1102
16000,9.439740313,1128
16000,9.354378224,1256
160000,9.726605831,1102
160000,9.439740313,1128
160000,9.354378224,1256
