name,rms,iteracion
16,0.668162851138173,102
16,0.711118254308691,128
16,0.793914937662461,256
160,0.67070533691748,102
160,0.710518082202271,128
160,0.794154423104162,256
1600,0.67070533691748,102
1600,0.710518082202271,128
1600,0.794154423104162,256
16000,0.67070533691748,102
16000,0.710518082202271,128
16000,0.794154423104162,256
160000,0.67070533691748,102
160000,0.710518082202271,128
160000,0.794154423104162,256
16,0.5914469259,1102
16,0.5503351539,1128
16,0.5349752311,1256
160,0.590492328,1102
160,0.5503351539,1128
160,0.5333352256,1256
1600,0.590492328,1102
1600,0.5497789891,1128
1600,0.5333352256,1256
16000,0.590492328,1102
16000,0.5497789891,1128
16000,0.5333352256,1256
160000,0.590492328,1102
160000,0.5497789891,1128
160000,0.5333352256,1256
