name,tiempo,iteracion
16,582.43195,102
16,764.8042,128
16,2856.8912,256
160,490.8151,102
160,768.6758,128
160,2914.6246,256
1600,531.3104,102
1600,830.2257,128
1600,3108.5913,256
16000,915.6551,102
16000,1418.9388,128
16000,5290.0373,256
160000,5001.8535835743,102
160000,7343.0792114735,128
160000,25614.1578419209,256
16,517.9898195,1102
16,815.8275535,1128
16,2620.532917,1256
160,522.9947779,1102
160,913.3992267,1128
160,2793.483745,1256
1600,563.6468768,1102
1600,877.3552573,1128
1600,3023.851265,1256
16000,975.7263317,1102
16000,1471.833745,1128
16000,5126.040546,1256
160000,4713.80550575256,1102
160000,7503.97519803047,1128
160000,25848.7740726471,1256
