name,ssim,iteracion,
16,0.3429266906,102,0.0096116878
16,0.3386044433,128,0.0061035156
16,0.3521616479,256,0.0015258789
160,0.7146177796,102,0.0096116878
160,0.7431657378,128,0.0061035156
160,0.8285271756,256,0.0015258789
1600,0.7146177796,102,0.0096116878
1600,0.7444789065,128,0.0061035156
1600,0.8288744737,256,0.0015258789
16000,0.7146177796,102,0.0096116878
16000,0.7444789065,128,0.0061035156
16000,0.8288744737,256,0.0015258789
160000,0.7146177796,102,0.0096116878
160000,0.7444789065,128,0.0061035156
160000,0.8288744737,256,0.0015258789
16,0.3636945193,1102,
16,0.3785548914,1128,
16,0.3932821453,1256,
160,0.6352532627,1102,
160,0.635549966,1128,
160,0.6568830271,1256,
1600,0.6352532627,1102,
1600,0.635549966,1128,
1600,0.6568830271,1256,
16000,0.6352532627,1102,
16000,0.635549966,1128,
16000,0.6568830271,1256,
160000,0.6352532627,1102,
160000,0.635549966,1128,
160000,0.6568830271,1256,
