name,rms,iteracion
16,0.257593879108465,102
16,0.258588006972968,128
16,0.280413667621614,256
160,0.594716528930567,102
160,0.63414321657632,128
160,0.732050756705898,256
1600,0.594716528930567,102
1600,0.63414321657632,128
1600,0.733100886709932,256
16000,0.594716528930567,102
16000,0.63414321657632,128
16000,0.733100886709932,256
160000,0.594716528930567,102
160000,0.63414321657632,128
160000,0.743055794397136,256
16,0.1703738617,1102
16,0.1476088482,1128
16,0.1210763909,1256
160,0.344190609,1102
160,0.3188100135,1128
160,0.2965801785,1256
1600,0.3491819151,1102
1600,0.3188100135,1128
1600,0.2966034611,1256
16000,0.3491819151,1102
16000,0.3188100135,1128
16000,0.2966034611,1256
160000,0.3491819151,1102
160000,0.3188100135,1128
160000,0.2966034611,1256
