name,PSNR,iteracion,
16,11.4329874566,102,0.0096116878
16,12.0158271459,128,0.0061035156
16,13.8463388492,256,0.0015258789
160,11.4446151605,102,0.0096116878
160,12.0327257852,128,0.0061035156
160,13.8608233924,256,0.0015258789
1600,11.4446151605,102,0.0096116878
1600,12.0327257852,128,0.0061035156
1600,13.8608233924,256,0.0015258789
16000,11.4446151605,102,0.0096116878
16000,12.0327257852,128,0.0061035156
16000,13.8608233924,256,0.0015258789
160000,11.4446151605,102,0.0096116878
160000,12.0327257852,128,0.0061035156
160000,13.8608233924,256,0.0015258789
16,10.10306636,1102,
16,9.529191661,1128,
16,9.139331513,1256,
160,10.10306636,1102,
160,9.548260604,1128,
160,9.149126406,1256,
1600,10.10306636,1102,
1600,9.548260604,1128,
1600,9.149126406,1256,
16000,10.10306636,1102,
16000,9.548260604,1128,
16000,9.149126406,1256,
160000,10.10306636,1102,
160000,9.548260604,1128,
160000,9.149126406,1256,
